,Rendement (%),Volatiliteit (%)
Alfen,-19.06656536464587,51.742622652220106
Ebusco,-50.01915401441197,118.9640720732108
Fastned,4.411762918430462,35.1061822439288
Heijmans,130.73877000959766,39.9008357783201
BAM,133.08651090992964,35.82919218208166
ASML,67.86977516262989,37.2087353289959
