Price,Close,High,Low,Open,Volume
Ticker,ALFEN.AS,ALFEN.AS,ALFEN.AS,ALFEN.AS,ALFEN.AS
Date,,,,,
2025-02-10,13.819999694824219,14.404999732971191,13.789999961853027,14.199999809265137,370853
2025-02-11,13.755000114440918,13.994999885559082,13.720000267028809,13.829999923706055,239974
2025-02-12,12.890000343322754,13.729999542236328,12.505000114440918,13.699999809265137,925067
2025-02-13,11.680000305175781,12.8149995803833,10.954999923706055,12.449999809265137,2539643
2025-02-14,11.635000228881836,12.074999809265137,11.40999984741211,11.625,874980
2025-02-17,11.78499984741211,12.0600004196167,11.449999809265137,11.604999542236328,561873
2025-02-18,12.350000381469727,12.4399995803833,11.774999618530273,11.845000267028809,600174
2025-02-19,12.305000305175781,12.880000114440918,12.305000305175781,12.40999984741211,435856
2025-02-20,12.199999809265137,12.789999961853027,12.114999771118164,12.789999961853027,516832
2025-02-21,12.024999618530273,12.359999656677246,11.949999809265137,12.279999732971191,264439
2025-02-24,12.859999656677246,13.069999694824219,11.944999694824219,12.15999984741211,759790
2025-02-25,12.675000190734863,13.125,12.609999656677246,12.850000381469727,467607
2025-02-26,13.489999771118164,13.625,12.6899995803833,12.90999984741211,730010
2025-02-27,12.949999809265137,13.510000228881836,12.9399995803833,13.449999809265137,467344
2025-02-28,12.600000381469727,12.845000267028809,12.520000457763672,12.770000457763672,380421
2025-03-03,12.354999542236328,12.779999732971191,12.239999771118164,12.600000381469727,437040
2025-03-04,11.630000114440918,12.25,11.579999923706055,12.1850004196167,680542
2025-03-05,12.145000457763672,12.180000305175781,11.800000190734863,11.984999656677246,606521
2025-03-06,13.0,13.25,12.244999885559082,12.244999885559082,1133289
2025-03-07,12.829999923706055,13.029999732971191,12.510000228881836,12.875,421027
2025-03-10,12.854999542236328,13.300000190734863,12.65999984741211,13.039999961853027,430509
2025-03-11,13.145000457763672,13.350000381469727,12.710000038146973,12.739999771118164,520927
2025-03-12,12.829999923706055,13.460000038146973,12.78499984741211,13.199999809265137,487776
2025-03-13,12.774999618530273,13.220000267028809,12.645000457763672,12.760000228881836,339963
