Price,Close,High,Low,Open,Volume
Ticker,ASML.AS,ASML.AS,ASML.AS,ASML.AS,ASML.AS
Date,,,,,
2025-02-10,710.669921875,712.9496040857986,700.0643753767679,702.145871696778,705973
2025-02-11,717.2116088867188,720.2842765589668,709.282237597772,709.8769767422241,560372
2025-02-12,712.0576171875,719.3922498598142,701.3529167800416,717.7072462403953,699310
2025-02-13,731.3854370117188,731.9801156830817,712.55317946537,721.5728154600995,775991
2025-02-14,725.7357788085938,738.323668860885,722.8613572822138,733.6651507475103,759158
2025-02-17,721.3745727539062,723.8525013910771,712.2557832698568,719.5904762344043,445320
2025-02-18,709.8770141601562,724.2490003789261,708.4893499129254,721.4737323807695,678430
2025-02-19,711.1654052734375,714.6345048113567,703.6325276181881,707.2007200872441,683919
2025-02-20,703.632568359375,716.8151352674957,701.2537329114035,703.3351685561547,665740
2025-02-21,703.8308715820312,711.859397185298,696.5953315911676,704.4256107913336,748403
2025-02-24,707.2008056640625,709.3813948795962,696.1988271395686,703.4343663806693,569212
2025-02-25,691.639404296875,698.8749435585944,682.025029430285,689.8553078413734,896194
2025-02-26,708.1919555664062,709.5796197058543,692.2341204442558,695.7032202965755,667549
2025-02-27,692.9279174804688,708.7866602452575,691.1438210186906,702.8396317084618,768323
2025-02-28,672.6089477539062,680.4392267099063,664.0848971531497,669.040754594591,1972948
2025-03-03,684.2056884765625,692.135060640269,670.4284406399076,673.0054623945888,882978
2025-03-04,654.668701171875,673.9965432200984,651.8934333872877,667.0583435104797,1074324
2025-03-05,666.7610473632812,677.5647798842556,666.7610473632812,667.7522188145433,915005
2025-03-06,664.0848388671875,674.7894779019058,652.2898749932647,671.9151171359331,755847
2025-03-07,660.1201782226562,671.2213104361718,656.9484175193227,664.8777890295048,746863
2025-03-10,633.3585205078125,667.0583478900749,623.0503138158942,664.1839266501263,1198808
2025-03-11,626.4203491210938,643.7658492945418,618.689224000189,636.0347241736371,1041466
2025-03-12,639.8011474609375,648.3251974191387,628.4026762048558,634.1514583043148,806867
2025-03-13,636.7286376953125,646.0456141105858,632.5657050221298,633.8542159576524,763405
2025-03-14,649.9111328125,654.5696507335578,638.5126611208693,639.2064932361425,630478
2025-03-17,655.461669921875,659.9219414614109,644.2614445996346,646.7393732327101,616812
2025-03-18,660.0211181640625,668.9416615574997,653.9749357885044,659.1290396261961,631607
2025-03-19,667.157470703125,669.5363063527889,655.461659834269,660.219270637293,642781
2025-03-20,666.5628051757812,680.7365449189199,663.2919514652577,670.0319052770678,749026
2025-03-21,654.8670043945312,664.9769655196918,650.3075793203618,660.7148797881995,1709687
2025-03-24,668.6442260742188,671.023061717529,659.9219295425869,662.0034258545592,646957
2025-03-25,668.7433471679688,674.9877148092346,662.2015797134469,667.058343710154,542626
2025-03-26,651.3978881835938,668.7433885358089,650.5058096812438,668.7433885358089,576726
2025-03-27,636.8275756835938,647.7304602478265,635.043479399615,644.2613606137525,770223
2025-03-28,620.0768432617188,634.2506435844045,617.7971609953172,629.3938792155577,848638
2025-03-31,600.64990234375,612.1474670349764,597.2798951947847,611.1562955789636,957426
2025-04-01,614.2289428710938,615.1209608539232,601.9383930285986,606.8942501431043,678551
2025-04-02,610.8589477539062,614.9227869648769,605.6057512092893,609.5704369782536,678930
2025-04-03,573.5909423828125,594.3063898295017,570.7165209183108,593.6126181968269,1145270
